skip 
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
0	2.38e+07	0	0.090989	1087.7	27.7	8.4337	0.13574	3.9162	0	0	0	0	0	11653	18456	80140	48.411	1.1151	1.1491e-13	0	1.5046e-12	57.198	7	0	695.83	0.010445	0	193.17	0	8.4325
0.5	2.27e+07	0.23153	0.065031	1192	27.199	7.9251	0.13316	3.3734	0	0	0	0	0	12248	20057	80105	52.362	1.2101	1.183e-13	0	2.3991e-12	57.818	7	0	1127.3	0.016926	0	225.99	0	8.872
1	2.16e+07	0.36262	0.055871	1372.9	27.632	7.7664	0.13629	3.1581	0	0	0	0	0	12395	20931	80092	54.247	1.2443	1.259e-13	0	3.5681e-12	58.053	7	0	1502.7	0.022566	0	269.6	0	10.197
1.5	2.05e+07	0.5692	0.05086	1573.3	28.242	7.6723	0.1387	2.9809	0	0	0	0	0	12345	21988	80085	55.957	1.2635	1.3619e-13	0	5.2039e-12	58.195	7	0	1894.6	0.028452	0	316	0	11.738
2	1.93e+07	0.92936	0.042386	1714.3	28.74	7.571	0.13274	2.8117	0	0	0	0	0	12173	23618	80075	57.877	1.2868	1.4656e-13	0	7.0427e-12	58.357	7	0	2246.8	0.033742	0	351.9	0	12.96
2.5	1.83e+07	1.2324	0.035273	1777	29.084	7.5179	0.12462	2.7077	0	0	0	0	0	12016	24836	80069	59.026	1.2989	1.5312e-13	0	8.4406e-12	58.441	7	0	2483.3	0.037295	0	371.53	0	13.626
3	1.72e+07	1.4632	0.030718	1802	29.304	7.492	0.1179	2.6488	0	0	0	0	0	11901	25723	80067	59.707	1.3044	1.5718e-13	0	9.3904e-12	58.48	7	0	2630.6	0.039509	0	381.81	0	13.968
3.5	1.62e+07	1.6641	0.027806	1812.8	29.443	7.4761	0.11257	2.6131	0	0	0	0	0	11810	26600	80065	60.203	1.3075	1.6017e-13	0	1.0074e-11	58.501	7	0	2724.2	0.040914	0	387.71	0	14.158
4	1.52e+07	1.8384	0.025844	1818.1	29.529	7.4641	0.10832	2.5901	0	0	0	0	0	11735	27460	80064	60.606	1.3096	1.6258e-13	0	1.0587e-11	58.516	7	0	2784.4	0.041819	0	391.37	0	14.271
4.5	1.44e+07	1.9895	0.024436	1821	29.582	7.4543	0.10494	2.5741	0	0	0	0	0	11675	28367	80063	60.941	1.3114	1.6456e-13	0	1.0983e-11	58.528	7	0	2824.2	0.042417	0	393.76	0	14.341
