skip 
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  Sz (kg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POCz (mg/m3)
0	1.2e+07	0	4.6753	0.013354	26.731	1.6984	0.0076144	632.59	0	0	0	0	0	6453.1	1190.1	5223.8	7579.3	2092	1.0094	0	0.027829	1313.3	2.3949	0	60.544	0	4.6085	0	1395.1	3195.2
0.5	1.15e+07	0.69634	4.9028	0.015037	27.053	1.6953	0.0080699	633.11	0	0	0	0	0	3484.5	1097	5000.9	7634.7	2090.2	1.6334	0	0.084141	1313.3	2.3949	0	60.437	0	4.6085	0	1395.1	3195.1
1	1.029e+07	1.4639	4.8663	0.015576	27.148	1.6918	0.0081614	633.38	0	0	0	0	0	2585.1	1069.1	4874.2	7664.8	2088.8	2.161	0	0.14076	1313.3	2.3949	0	60.328	0	4.6085	0	1395.1	3195.1
1.5	9.08e+06	1.5152	4.7593	0.01562	27.156	1.6916	0.0081408	633.47	0	0	0	0	0	2510.6	1066.9	4871.4	7666.6	2088.7	2.2017	0	0.1465	1313.3	2.3949	0	60.317	0	4.6085	0	1395.1	3195.1
2	8.26e+06	1.5814	4.6884	0.015678	27.165	1.6914	0.0081348	633.66	0	0	0	0	0	2422	1064	4864.9	7668.5	2088.5	2.25	0	0.15376	1313.3	2.3949	0	60.303	0	4.6085	0	1395.1	3195.1
2.5	7.44e+06	1.6368	4.642	0.01573	27.173	1.6912	0.0081351	633.92	0	0	0	0	0	2350.4	1061.4	4858.5	7670.2	2088.4	2.2913	0	0.16009	1313.3	2.3949	0	60.291	0	4.6085	0	1395.1	3195.1
3	6.625e+06	1.6857	4.6102	0.015778	27.181	1.691	0.0081404	634.31	0	0	0	0	0	2289.8	1058.8	4852.2	7671.6	2088.3	2.3282	0	0.1658	1313.3	2.3949	0	60.28	0	4.6085	0	1395.1	3195.1
3.5	5.81e+06	1.7316	4.5866	0.015828	27.189	1.6909	0.0081507	634.89	0	0	0	0	0	2236.2	1056.1	4846	7672.9	2088.2	2.3626	0	0.17116	1313.3	2.3949	0	60.27	0	4.6085	0	1395.1	3195.1
4	4.785e+06	1.7661	4.5699	0.015871	27.195	1.6908	0.0081627	635.53	0	0	0	0	0	2198.4	1053.7	4841.1	7674	2088.1	2.3887	0	0.17521	1313.3	2.3949	0	60.262	0	4.6085	0	1395.1	3195
4.5	3.76e+06	1.7939	4.5567	0.015914	27.201	1.6906	0.0081787	636.36	0	0	0	0	0	2172.2	1051.1	4837.2	7674.8	2088.1	2.4089	0	0.17825	1313.3	2.3949	0	60.257	0	4.6085	0	1395.1	3195
5	3.195e+06	1.8241	4.5431	0.015969	27.209	1.6905	0.008203	637.57	0	0	0	0	0	2148.2	1047.6	4833.5	7675.6	2088	2.4282	0	0.18119	1313.3	2.3949	0	60.251	0	4.6085	0	1395.1	3195
5.5	2.63e+06	1.8536	4.5282	0.016037	27.218	1.6904	0.0082381	639.25	0	0	0	0	0	2133.2	1043.1	4830.6	7676.2	2088	2.443	0	0.18335	1313.3	2.3949	0	60.247	0	4.6085	0	1395.1	3195
6	2.25e+06	1.8812	4.5119	0.016118	27.228	1.6903	0.0082826	641.29	0	0	0	0	0	2127.5	1037.8	4828.6	7676.8	2087.9	2.453	0	0.18463	1313.3	2.3949	0	60.244	0	4.6085	0	1395.1	3195
6.5	1.87e+06	1.9149	4.4867	0.016247	27.244	1.6902	0.0083596	644.58	0	0	0	0	0	2137.2	1029	4828	7677.2	2087.9	2.4557	0	0.18462	1313.3	2.3949	0	60.244	0	4.6085	0	1395.1	3195
7	1.58e+06	1.9521	4.4516	0.016431	27.265	1.6901	0.0084737	649.02	0	0	0	0	0	2169.5	1016.3	4829.3	7677.4	2087.9	2.4473	0	0.18262	1313.3	2.3949	0	60.248	0	4.6085	0	1395.1	3195
7.5	1.29e+06	1.9946	4.4033	0.016684	27.294	1.6899	0.0086344	654.75	0	0	0	0	0	2228.5	998.89	4833	7677.4	2088	2.4271	0	0.17839	1313.3	2.3949	0	60.256	0	4.6085	0	1395.1	3195
8	1.066e+06	2.0648	4.3075	0.017186	27.35	1.6897	0.0089588	664.81	0	0	0	0	0	2369.9	964.28	4843.4	7676.6	2088.1	2.3724	0	0.16798	1313.3	2.3949	0	60.276	0	4.6085	0	1395.1	3195
8.5	8.42e+05	2.1835	4.1204	0.018167	27.488	1.7214	0.0095966	681.04	0	0	0	0	0	2670	897.38	4784.7	7747	2085.6	2.2732	0	0.15308	1323.5	2.3596	0	60.51	0	4.6437	0	1406.3	3221.4
9	6.985e+05	3.0159	2.7001	0.025718	29.482	2.9307	0.014456	786.1	0	0	0	0	0	4839.9	398.52	1908.1	10465	1976.4	2.3964	0	0.20566	1709	1.0238	0	68.158	0	5.9763	0	1829.8	4216.7
9.5	5.55e+05	3.1461	2.4728	0.026945	29.628	2.9603	0.015234	805.25	0	0	0	0	0	5199.7	319.97	1862.4	10528	1973.8	2.325	0	0.18737	1718.6	0.99039	0	68.387	0	6.0096	0	1840.4	4241.6
10	4.725e+05	3.2472	2.2961	0.027901	29.716	2.9597	0.01584	822.94	0	0	0	0	0	5479.6	259.01	1883	10524	1974	2.2487	0	0.17257	1718.6	0.99039	0	68.415	0	6.0096	0	1840.4	4241.6
10.5	3.9e+05	3.356	2.1055	0.028935	29.81	2.9591	0.016493	845.8	0	0	0	0	0	5775.8	193.42	1904.5	10521	1973.8	1.9861	0	0.15902	1718.6	0.99039	0	68.441	0	6.0096	0	1840.4	4241.6
11	3.355e+05	3.7725	1.4867	0.033265	31.541	3.6036	0.028119	957.13	0	0	0	0	0	8779.6	19.62	1564.2	10472	1900.2	1.5653	0	0.51134	1663.8	1.1802	0	62.893	0	5.8198	0	1744.4	4021.2
11.5	2.81e+05	3.7899	1.4619	0.033449	31.626	3.6366	0.028691	961.89	0	0	0	0	0	8923.2	13.085	1545.7	10470	1896.4	1.5509	0	0.50296	1661	1.1899	0	62.659	0	5.8101	0	1739.5	4009.9
12	2.395e+05	3.7899	1.4619	0.033449	31.626	3.6366	0.028691	961.89	0	0	0	0	0	8923.2	13.085	1545.7	10470	1896.4	1.5509	0	0.50296	1661	1.1899	0	62.659	0	5.8101	0	1739.5	4009.9
12.5	1.98e+05	3.7899	1.4619	0.033449	31.626	3.6366	0.028691	961.89	0	0	0	0	0	8923.2	13.085	1545.7	10470	1896.4	1.5509	0	0.50296	1661	1.1899	0	62.659	0	5.8101	0	1739.5	4009.9
13	1.665e+05	3.7899	1.4619	0.033449	31.626	3.6366	0.028691	961.89	0	0	0	0	0	8923.2	13.085	1545.7	10470	1896.4	1.5509	0	0.50296	1661	1.1899	0	62.659	0	5.8101	0	1739.5	4009.9
13.5	1.35e+05	3.7899	1.4619	0.033449	31.626	3.6366	0.028691	961.89	0	0	0	0	0	8923.2	13.085	1545.7	10470	1896.4	1.5509	0	0.50296	1661	1.1899	0	62.659	0	5.8101	0	1739.5	4009.9
