z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
0	378.169	32094	0.00023847	0.00020397	0.29482	1.1184	0.017929	0	1194.8	0.015209	4.25E-11	8.11E-05	0	9.58E-15	0.00070607	471.69	0.0063345	0	621.69	1.96E-07	5.25E-06	0.032071	0.0014623	113.0064103	6.2932	6.84E-06	940.02	0.15014	0.0010024	1.2103	0	0.51792	0	0	0.063825	388.713	450.25
0.1	377.828	32001	0.00023917	0.00020569	0.16502	0.61282	0.054527	2.22E-11	1168	0.015197	0.13478	0.00032876	3.90E-09	2.68E-11	0.0017836	471.46	0.0063342	0.00078137	621.74	3.00E-06	1.74E-05	0.031549	0.014616	113.0128205	6.2932	1.36E-05	936.34	0.18193	0.0028865	1.7865	3.4585e-323	0.51738	1.29E-14	5.4347e-323	0.06383	388.726	450.25
0.2	377.729	31995	0.00023988	0.00020746	0.053166	0.16789	0.087469	4.17E-11	1140.7	0.015145	0.2714	0.00057636	7.92E-09	5.70E-11	0.0023812	471.08	0.0063323	0.0013112	621.88	4.23E-05	6.18E-05	0.031029	0.02747	113.0320513	6.2932	1.77E-05	932.61	0.21107	0.0036209	2.2455	7.411e-323	0.51873	5.47E-14	1.0375e-322	0.063845	388.752	450.25
0.3	377.751	32032	0.00024059	0.00020924	0.014778	0.045994	0.10784	5.54E-11	1113.3	0.015015	0.40894	0.00082387	1.21E-08	1.06E-10	0.0026698	470.6	0.006329	0.0016383	622.06	0.00026176	0.000144	0.030514	0.039983	113.0576923	6.2932	1.99E-05	928.84	0.21968	0.0036943	2.5617	1.1364e-322	0.52062	2.19E-13	1.6304e-322	0.063869	388.817	450.25
0.4	377.894	32108	0.00024131	0.00021104	0.0041075	0.0126	0.12092	6.42E-11	1086.2	0.014789	0.54612	0.0010713	1.66E-08	1.64E-10	0.0028183	470	0.0063243	0.0018404	622.27	0.00079031	0.00025108	0.030003	0.052213	113.0897436	6.2932	2.15E-05	925.02	0.22752	0.003668	2.7656	1.5316e-322	0.52302	6.19E-13	2.2233e-322	0.063903	388.882	450.25
0.5	378.103	32215	0.00024202	0.00021284	0.0011417	0.003452	0.12845	6.97E-11	1059.6	0.014492	0.68214	0.0013188	2.13E-08	2.33E-10	0.0028979	469.28	0.0063182	0.0019654	622.5	0.0015801	0.00037056	0.029497	0.064182	113.1282051	6.2932	2.28E-05	921.16	0.23249	0.0035987	2.8815	1.9763e-322	0.52567	1.28E-12	2.7668e-322	0.063945	388.986	450.25
0.6	378.356	32334	0.00024273	0.00021463	0.00031734	0.00094571	0.13236	7.30E-11	1033.5	0.014159	0.8165	0.0015664	2.63E-08	3.08E-10	0.0029558	468.48	0.0063112	0.0020428	622.73	0.0025177	0.00049551	0.028997	0.075892	113.1666667	6.2932	2.39E-05	917.26	0.23788	0.0035064	2.9404	2.4209e-322	0.52807	2.19E-12	3.3102e-322	0.063996	389.09	450.25
0.7	378.609	32454	0.00024344	0.00021639	8.82E-05	0.00025909	0.13455	7.50E-11	1008.1	0.013815	0.9489	0.001814	3.16E-08	3.80E-10	0.003017	467.63	0.0063035	0.0020909	622.98	0.0035238	0.00062289	0.0285	0.087348	113.2051282	6.2932	2.48E-05	913.31	0.24537	0.0034083	2.972	2.915e-322	0.52996	3.24E-12	3.8537e-322	0.064056	389.233	450.25
0.8	378.851	32573	0.00024414	0.00021812	2.45E-05	7.10E-05	0.13614	7.63E-11	983.27	0.01347	1.0792	0.0020617	3.72E-08	4.45E-10	0.0030877	466.73	0.0062953	0.0021208	623.22	0.0045599	0.00075151	0.028009	0.098552	113.25	6.2932	2.57E-05	909.32	0.25427	0.0033151	2.9935	3.3102e-322	0.53127	4.35E-12	4.3972e-322	0.064125	389.389	450.25
0.9	379.082	32688	0.00024484	0.00021982	6.81E-06	1.94E-05	0.13753	7.72E-11	959.05	0.013129	1.2075	0.0023096	4.32E-08	5.06E-10	0.003167	465.77	0.0062866	0.0021397	623.47	0.0056102	0.0008809	0.027521	0.10951	113.3012821	6.2932	2.66E-05	905.29	0.26364	0.0032307	3.0119	3.7549e-322	0.53205	5.49E-12	4.9407e-322	0.064201	389.571	450.25
1	379.302	32799	0.00024553	0.00022148	1.89E-06	5.33E-06	0.13886	7.80E-11	935.4	0.012793	1.3337	0.0025576	4.95E-08	5.66E-10	0.0032528	464.78	0.0062775	0.0021516	623.72	0.0066686	0.0010109	0.027038	0.12022	113.3589744	6.2932	2.74E-05	901.22	0.27301	0.0031556	3.0294	4.1502e-322	0.53236	6.64E-12	5.4347e-322	0.064286	389.779	450.25
1.1	379.5	32907	0.00024622	0.00022312	5.27E-07	1.46E-06	0.14016	7.87E-11	912.31	0.012463	1.4578	0.0028058	5.64E-08	6.26E-10	0.0033435	463.73	0.0062679	0.0021593	623.97	0.0077329	0.0011413	0.026559	0.13068	113.4102564	6.2932	2.81E-05	897.11	0.28218	0.0030892	3.0469	4.5454e-322	0.53226	7.80E-12	5.9288e-322	0.064378	390	450.25
1.2	379.687	33010	0.0002469	0.00022472	1.46E-07	4.00E-07	0.14144	7.95E-11	889.74	0.01214	1.5799	0.0030542	6.37E-08	6.86E-10	0.0034382	462.64	0.0062579	0.0021644	624.22	0.0088018	0.0012721	0.026084	0.14091	113.474359	6.2932	2.88E-05	892.96	0.29111	0.0030302	3.0644	4.9901e-322	0.53182	8.96E-12	6.4723e-322	0.064478	390.247	450.25
