z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
0	279.48	9416.6	0.00024913	0.00032413	0.38684	1.2821	0.0031289	0	2438.6	12.744	1.6263e-16	1.019e-05	0	1.2224e-15	0.00037683	490.73	88.186	0	313.52	5.4903e-12	5.5562e-06	0.96335	0.0014401	2.8163	5.8149	1e-05	788.86	0.14771	0.00028461	0.34786	0	0.38062	0	0	0.43309	0.0016131	0.0064959
0.1	278.95	9318.4	0.00024838	0.00032142	0.22182	0.72158	0.035326	1.6503e-11	2405.2	12.744	0.019635	0.00018331	9.3515e-13	1.3582e-14	0.0039804	490.69	88.186	0.00039405	313.55	1.2483e-10	2.5846e-05	0.96227	0.013682	3.0676	5.8149	1e-05	783.93	0.13667	0.0022931	0.87066	4.4466e-323	0.3768	2.3985e-18	5.4347e-323	15.392	0.05735	0.23087
0.2	278.7	9258.7	0.00024764	0.00031884	0.091938	0.29412	0.063523	3.1204e-11	2369.8	12.744	0.047304	0.00035614	1.9236e-12	3.6789e-14	0.0047674	490.43	88.186	0.00066123	313.61	3.0889e-09	0.00014128	0.96124	0.023194	3.7815	5.8149	1e-05	779.08	0.12224	0.0036808	1.2959	8.3991e-323	0.37522	1.0173e-17	1.1364e-322	30.605	0.11685	0.45892
0.3	278.66	9227.8	0.00024693	0.0003164	0.027631	0.080578	0.083337	4.2823e-11	2333.3	12.744	0.08195	0.00052855	3.0047e-12	7.0851e-14	0.004516	489.96	88.186	0.00082619	313.71	2.604e-08	0.00039196	0.96024	0.031253	4.5701	5.8149	1e-05	774.28	0.10745	0.0045318	1.5994	1.2352e-322	0.37517	4.0745e-17	1.6798e-322	45.861	0.18226	0.68741
0.4	278.75	9214.2	0.00024625	0.00031407	0.0076801	0.022075	0.096373	5.1302e-11	2296.3	12.744	0.12019	0.00070063	4.1788e-12	1.2093e-13	0.0042163	489.32	88.186	0.0009281	313.81	1.0644e-07	0.00076734	0.95926	0.03897	5.3606	5.8149	1e-05	769.51	0.09167	0.0050873	1.806	1.6798e-322	0.3758	1.6263e-16	2.2727e-322	61.166	0.25681	0.91632
0.5	278.94	9214.7	0.00024559	0.00031186	0.0021347	0.0060476	0.10525	5.7172e-11	2259.6	12.744	0.15947	0.0008726	5.4448e-12	1.7927e-13	0.0039555	488.53	88.186	0.00099113	313.93	2.5226e-07	0.0012112	0.95829	0.046482	6.1526	5.8149	1e-05	764.74	0.081641	0.0054431	1.9371	2.1245e-322	0.37696	3.834e-16	2.915e-322	76.525	0.34409	1.1457
0.6	279.19	9222.6	0.00024497	0.00030978	0.00059336	0.0016568	0.11118	6.1288e-11	2223.2	12.743	0.19833	0.0010447	6.7947e-12	2.4507e-13	0.0037636	487.62	88.185	0.0010302	314.05	4.4152e-07	0.0016854	0.95734	0.053796	6.946	5.8149	1e-05	759.96	0.074717	0.0056654	2.0157	2.5691e-322	0.37816	7.3161e-16	3.4585e-322	91.94	0.44819	1.3754
0.7	279.45	9232.1	0.00024438	0.0003078	0.00016493	0.0004539	0.11545	6.4283e-11	2187.4	12.743	0.23603	0.001217	8.22e-12	3.1145e-13	0.0036748	486.61	88.185	0.0010544	314.17	6.5227e-07	0.0021715	0.95639	0.060918	7.741	5.8149	1e-05	755.17	0.071172	0.0058089	2.065	2.9644e-322	0.37901	1.1616e-15	4.0019e-322	107.42	0.57375	1.6055
0.8	279.71	9240.4	0.00024382	0.00030592	4.5842e-05	0.00012435	0.11906	6.6636e-11	2152	12.743	0.27229	0.0013897	9.7139e-12	3.7317e-13	0.0036829	485.51	88.185	0.0010695	314.29	8.7215e-07	0.0026619	0.95545	0.067855	8.5375	5.8149	1e-05	750.37	0.070121	0.0059134	2.1014	3.3596e-322	0.37935	1.6345e-15	4.5454e-322	122.95	0.72602	1.8361
0.9	279.95	9247	0.0002433	0.00030416	1.2742e-05	3.4067e-05	0.12243	6.8673e-11	2117.1	12.743	0.30695	0.0015627	1.1273e-11	4.3124e-13	0.0037569	484.33	88.184	0.001079	314.42	1.0957e-06	0.0031535	0.95451	0.074612	9.3355	5.8149	1e-05	745.56	0.070323	0.0060009	2.1329	3.7549e-322	0.37919	2.1287e-15	5.0889e-322	138.55	0.91068	2.067
