z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
0	372.81	15669	0.00024366	0.00029041	0.35046	1.2907	0.0059368	0	1805.2	22.377	2.3836e-16	1.2343e-05	0	2.6526e-15	0.00040544	663.36	78.903	0	369.82	9.1855e-09	0.00055687	0.18874	0.00028796	3.2821e-320	5.8148	3.1623e-05	108.66	0.15019	0.00034985	0.42586	0	0.76526	0	0	0.0507	0.019273	7.3478e-06
0.1	372.14	15514	0.0002438	0.0002907	0.19631	0.71094	0.045138	2.0869e-11	1776.7	22.375	0.043981	0.0002344	2.4942e-14	2.2512e-14	0.0034466	663.34	78.904	0.00046481	369.85	1.7283e-07	0.0021966	0.18784	0.0020442	3.2885e-320	5.8148	3.1623e-05	107.7	0.17705	0.00075435	0.84589	4.4466e-323	0.76141	2.0065e-14	5.4347e-323	1.8019	0.6852	0.00026113
0.2	371.78	15412	0.00024396	0.00029109	0.064219	0.21365	0.080812	3.9255e-11	1742.7	22.368	0.10054	0.00043676	3.228e-14	3.6141e-14	0.0057453	663.16	78.904	0.00077998	369.93	3.1733e-06	0.0094222	0.18692	0.0037761	3.2821e-320	5.8148	3.1623e-05	106.72	0.1944	0.0010674	1.1973	8.8932e-323	0.76203	8.5097e-14	1.1364e-322	3.583	1.3962	0.00051775
0.3	371.56	15334	0.00024413	0.00029156	0.01785	0.05853	0.10431	5.3803e-11	1705.3	22.354	0.16766	0.00061247	2.5563e-14	4.0185e-14	0.0075664	662.78	78.903	0.00097456	370.04	2.2494e-05	0.023544	0.186	0.0054778	3.2821e-320	5.8148	3.1623e-05	105.72	0.19465	0.0012835	1.4563	1.2846e-322	0.76424	3.4084e-13	1.6798e-322	5.3697	2.178	0.00077271
0.4	371.49	15277	0.00024431	0.00029211	0.0049615	0.016035	0.12055	6.4087e-11	1667	22.336	0.2391	0.00076708	1.1624e-14	3.1156e-14	0.0090455	662.12	78.903	0.0010948	370.17	7.3733e-05	0.042415	0.18509	0.0071504	3.2821e-320	5.8148	3.1623e-05	104.7	0.19365	0.0014278	1.6308	1.7292e-322	0.76799	1.0547e-12	2.2727e-322	7.1628	3.0689	0.0010253
0.5	371.51	15238	0.00024452	0.00029274	0.0013791	0.0043929	0.13118	7.1198e-11	1628.9	22.315	0.31071	0.00090984	2.777e-15	1.3562e-14	0.010208	661.12	78.902	0.0011691	370.3	0.00015392	0.063611	0.18419	0.0087948	3.2821e-320	5.8148	3.1623e-05	103.66	0.1856	0.0015195	1.7373	2.1245e-322	0.77281	2.2534e-12	2.915e-322	8.9633	4.11	0.0012751
0.6	371.59	15206	0.00024474	0.00029342	0.00038332	0.0012035	0.138	7.61e-11	1591.9	22.294	0.38024	0.0010473	6.634e-16	4.0879e-15	0.011066	659.76	78.901	0.0012152	370.44	0.00025072	0.085728	0.18331	0.010412	3.2821e-320	5.8148	3.1623e-05	102.61	0.18795	0.0015792	1.801	2.5691e-322	0.77774	3.9937e-12	3.4585e-322	10.772	5.342	0.0015216
0.7	371.66	15175	0.00024498	0.00029415	0.00010654	0.0003297	0.14288	7.9598e-11	1556.3	22.273	0.44657	0.0011829	1.5848e-16	9.7657e-16	0.011591	658.03	78.9	0.0012438	370.59	0.00035484	0.10816	0.18245	0.012003	3.2821e-320	5.8148	3.1623e-05	101.56	0.19202	0.0016228	1.8463	2.9644e-322	0.78211	6.037e-12	4.0019e-322	12.589	6.7991	0.0017645
0.8	371.72	15142	0.00024524	0.00029492	2.9615e-05	9.0325e-05	0.14704	8.232e-11	1522.1	22.252	0.50925	0.001318	3.7861e-17	2.333e-16	0.011743	655.93	78.898	0.0012616	370.74	0.0004617	0.13067	0.18162	0.013568	3.2821e-320	5.8148	3.1623e-05	100.51	0.1961	0.0016591	1.8853	3.3596e-322	0.78577	8.231e-12	4.5454e-322	14.416	8.5001	0.0020037
0.9	371.77	15107	0.00024551	0.00029573	8.2315e-06	2.4745e-05	0.15094	8.4676e-11	1489.5	22.232	0.56824	0.0014531	9.0447e-18	5.5733e-17	0.011537	653.46	78.896	0.0012728	370.89	0.0005695	0.1532	0.18082	0.015108	3.2821e-320	5.8148	3.1623e-05	99.457	0.20001	0.0016923	1.9221	3.7549e-322	0.78877	1.0498e-11	5.0889e-322	16.254	10.443	0.0022391
