z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
0	356.72	11868	0.00043426	0.000939	0.13362	1.1943	0.010464	0	1987.8	19.432	2.6446e-08	3.9285e-05	0	1.8855e-13	0.00063547	692.02	81.714	0	355.01	8.9973e-08	0.0019787	1.2545	0.00026153	20.819	5.8149	1e-05	167.47	0.15058	0.00058106	0.68237	0	0.58898	0	0	0.20914	0.058816	0.11367
0.1	354.96	11535	0.00042883	0.00091424	0.074279	0.6544	0.041457	1.7771e-11	1945.5	19.431	0.040719	0.00024426	3.7742e-13	1.1348e-13	0.005957	691.92	81.714	0.0004462	355.05	5.3803e-07	0.003464	1.2533	0.00072563	21.737	5.8149	1e-05	164.86	0.13094	0.0029446	1.2244	4.4466e-323	0.57633	8.3266e-14	5.4347e-323	7.4327	2.0911	4.0397
0.2	353.76	11294	0.00042343	0.00088977	0.020646	0.17928	0.069471	3.3505e-11	1906.1	19.427	0.083514	0.00044269	7.1991e-13	7.134e-14	0.01007	691.57	81.714	0.00074875	355.12	3.4241e-06	0.0072811	1.2522	0.0011502	22.672	5.8149	1e-05	162.58	0.11402	0.0044625	1.6469	8.3991e-323	0.56773	3.5315e-13	1.1364e-322	14.78	4.2642	8.0299
0.3	352.95	11121	0.00041806	0.00086552	0.0057387	0.049115	0.087525	4.5233e-11	1869.9	19.422	0.12674	0.00063398	9.9727e-13	9.6044e-14	0.01275	690.91	81.713	0.00093554	355.23	1.2019e-05	0.012962	1.2512	0.0015279	23.611	5.8149	1e-05	160.61	0.099013	0.0052945	1.9296	1.2352e-322	0.56131	1.1983e-12	1.6798e-322	22.149	6.6556	12.027
0.4	352.51	11011	0.00041273	0.0008415	0.0015951	0.013456	0.099884	5.3312e-11	1837	19.416	0.16796	0.00082118	1.2388e-12	1.3985e-13	0.01383	689.86	81.712	0.0010509	355.35	2.6344e-05	0.019695	1.2503	0.0018654	24.554	5.8149	1e-05	158.91	0.088841	0.0057988	2.1112	1.6798e-322	0.55701	2.6405e-12	2.2727e-322	29.544	9.3487	16.03
0.5	352.34	10951	0.00040745	0.00081767	0.00044337	0.0036863	0.10802	5.8885e-11	1807.1	19.41	0.20597	0.0010067	1.4437e-12	1.9402e-13	0.013467	688.41	81.711	0.0011223	355.48	4.4439e-05	0.027018	1.2496	0.002172	25.499	5.8149	1e-05	157.45	0.081843	0.0060997	2.2154	2.1245e-322	0.55425	4.8017e-12	2.915e-322	36.968	12.356	20.039
0.6	352.36	10925	0.00040223	0.00079404	0.00012324	0.0010099	0.11351	6.2806e-11	1779.8	19.404	0.24077	0.0011917	1.6071e-12	2.5129e-13	0.012229	686.61	81.709	0.0011665	355.61	6.4663e-05	0.034716	1.2489	0.0024564	26.446	5.8149	1e-05	156.17	0.078203	0.0062765	2.2733	2.5691e-322	0.55215	7.372e-12	3.4585e-322	44.421	15.608	24.054
0.7	352.49	10923	0.00039708	0.00077062	3.4254e-05	0.00027667	0.11777	6.5731e-11	1754.5	19.398	0.27294	0.0013768	1.7242e-12	3.0488e-13	0.010741	684.51	81.707	0.001194	355.75	8.6156e-05	0.04269	1.2483	0.0027243	27.394	5.8149	1e-05	155.03	0.076969	0.0063898	2.3103	2.9644e-322	0.55014	1.0146e-11	4.0019e-322	51.907	19.011	28.073
0.8	352.7	10934	0.00039201	0.00074745	9.5211e-06	7.5796e-05	0.12159	6.8135e-11	1730.7	19.393	0.30302	0.0015621	1.7932e-12	3.5336e-13	0.0093781	682.17	81.704	0.0012111	355.89	0.00010854	0.050881	1.2478	0.0029781	28.344	5.8149	1e-05	153.97	0.077004	0.006476	2.3398	3.3596e-322	0.54792	1.3014e-11	4.5454e-322	59.426	22.498	32.096
0.9	352.95	10955	0.00038703	0.00072457	2.6464e-06	2.0765e-05	0.12527	7.0303e-11	1708.1	19.387	0.33135	0.0017479	1.8166e-12	3.9847e-13	0.0082621	679.62	81.701	0.0012219	356.04	0.00013164	0.059249	1.2473	0.0032183	29.295	5.8149	1e-05	152.98	0.07758	0.006552	2.3668	3.7549e-322	0.54537	1.5931e-11	5.0889e-322	66.981	26.035	36.122
1	353.21	10980	0.00038215	0.00070206	7.3559e-07	5.6887e-06	0.12887	7.2368e-11	1686.4	19.382	0.35809	0.001934	1.8e-12	4.4172e-13	0.0073782	676.91	81.698	0.0012287	356.18	0.00015535	0.067756	1.2467	0.0034448	30.247	5.8149	1e-05	152.01	0.078353	0.006624	2.3929	4.1502e-322	0.54242	1.8885e-11	5.6323e-322	74.571	29.607	40.152
1.1	353.49	11007	0.00037739	0.00067997	2.0446e-07	1.5585e-06	0.13243	7.4382e-11	1665.3	19.376	0.38332	0.0021207	1.7498e-12	4.8371e-13	0.006676	674.06	81.695	0.0012331	356.32	0.00017963	0.076373	1.2462	0.0036574	31.201	5.8149	1e-05	151.06	0.079188	0.0066942	2.4186	4.5454e-322	0.53908	2.1878e-11	6.1758e-322	82.198	33.206	44.184
1.2	353.77	11033	0.00037275	0.00065836	5.6831e-08	4.2696e-07	0.13596	7.6364e-11	1644.7	19.371	0.40714	0.0023078	1.6726e-12	5.2438e-13	0.0061144	671.1	81.692	0.001236	356.47	0.00020446	0.085077	1.2457	0.0038558	32.157	5.8149	1e-05	150.11	0.080038	0.0067631	2.444	4.9901e-322	0.5354	2.492e-11	6.8181e-322	89.862	36.826	48.218
1.3	354.04	11059	0.00036825	0.0006373	1.5796e-08	1.1697e-07	0.13944	7.8319e-11	1624.5	19.366	0.42961	0.0024955	1.5743e-12	5.6342e-13	0.0056786	668.04	81.688	0.001238	356.61	0.0002298	0.09385	1.2452	0.0040398	33.115	5.8149	1e-05	149.16	0.080882	0.0068308	2.4691	5.3853e-322	0.53143	2.8019e-11	7.411e-322	97.562	40.457	52.253
1.4	354.29	11083	0.00036389	0.00061685	4.3907e-09	3.2045e-08	0.14288	8.0248e-11	1604.5	19.36	0.45081	0.0026837	1.4605e-12	6.0055e-13	0.0053478	664.91	81.684	0.0012394	356.75	0.00025564	0.10268	1.2447	0.0042097	34.075	5.8149	1e-05	148.21	0.081711	0.0068971	2.4938	5.7806e-322	0.52724	3.1184e-11	7.9545e-322	105.3	44.094	56.29
