z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
0	418.24	41992	0.00030993	0.00029829	0.29217	1.0867	0.013689	0	1066.8	0.0059701	5.5201e-07	7.4041e-05	0	6.0993e-14	0.00069189	481.32	0.00337	0	694.01	6.3603e-08	1.4192e-06	0.022165	0.00065063	154.54	6.2896	6.145e-06	76.771	0.14981	0.00093556	1.1293	0	0.99911	0	0	1512.5	331.96	450.07
0.1	417.86	41861	0.00031041	0.00029977	0.16505	0.5954	0.039592	1.5778e-11	1036.8	0.0059663	0.20064	0.00028724	1.1357e-08	3.201e-11	0.0021019	481.08	0.0033699	0.00087227	694.07	1.1124e-06	5.2142e-06	0.021643	0.0031165	154.54	6.2896	1.2828e-05	76.31	0.16421	0.0030213	1.578	3.4585e-323	0.99897	6.3399e-16	5.4347e-323	1512.7	331.99	450.07
0.2	417.61	41784	0.0003109	0.00030129	0.062993	0.16311	0.062132	2.9903e-11	1003.6	0.0059457	0.40823	0.00050045	2.3099e-08	8.2523e-11	0.0032241	480.64	0.003369	0.0014637	694.22	2.0181e-05	2.2289e-05	0.021124	0.0054843	154.56	6.2896	1.6989e-05	75.845	0.17641	0.0037648	1.9412	7.411e-323	1.0008	2.6888e-15	1.0375e-322	1513.3	332.07	450.07
0.3	417.46	41745	0.00031138	0.00030282	0.017509	0.044687	0.077046	3.9613e-11	969.54	0.0058957	0.61921	0.00071367	3.5539e-08	1.5786e-10	0.0040991	480.02	0.0033675	0.0018289	694.43	0.00011718	5.2077e-05	0.02061	0.0077291	154.59	6.2896	1.9714e-05	75.374	0.18473	0.003749	2.1984	1.1364e-322	1.0039	1.077e-14	1.6304e-322	1514.3	332.21	450.07
0.4	417.35	41731	0.00031187	0.00030437	0.0048667	0.012242	0.086339	4.6088e-11	935.47	0.0057977	0.82965	0.00092697	4.8717e-08	2.6042e-10	0.0048033	479.23	0.0033654	0.0020545	694.66	0.00037892	9.2716e-05	0.020103	0.0098531	154.63	6.2896	2.1679e-05	74.899	0.19217	0.0036565	2.3734	1.5316e-322	1.0077	3.2949e-14	2.2233e-322	1515.7	332.41	450.07
0.5	417.3	41734	0.00031236	0.00030592	0.0013527	0.0033539	0.09222	5.0265e-11	902.04	0.0056612	1.0373	0.0011404	6.2728e-08	3.7442e-10	0.0054017	478.26	0.0033628	0.002194	694.91	0.00079112	0.00013905	0.019603	0.01186	154.69	6.2896	2.3278e-05	74.418	0.20161	0.0035598	2.4892	1.9763e-322	1.0119	7.0069e-14	2.7668e-322	1517.5	332.66	450.07
0.6	417.25	41745	0.00031285	0.00030746	0.000376	0.00091883	0.095844	5.3008e-11	869.56	0.005505	1.241	0.0013539	7.7671e-08	4.9557e-10	0.0059027	477.14	0.0033598	0.0022804	695.18	0.001294	0.00018806	0.01911	0.013756	154.75	6.2896	2.4627e-05	73.933	0.2121	0.003468	2.568	2.4209e-322	1.016	1.2366e-13	3.3102e-322	1519.6	332.97	450.07
0.7	417.21	41755	0.00031334	0.00030898	0.00010451	0.00025172	0.098379	5.489e-11	838.17	0.0053425	1.44	0.0015677	9.3657e-08	6.1035e-10	0.0063105	475.9	0.0033566	0.0023341	695.45	0.0018418	0.00023839	0.018626	0.015552	154.82	6.2896	2.5809e-05	73.443	0.22405	0.0033859	2.6285	2.915e-322	1.0198	1.8633e-13	3.8537e-322	1522.1	333.34	450.07
0.8	417.16	41764	0.00031383	0.00031049	2.9049e-05	6.8961e-05	0.10052	5.6315e-11	807.88	0.0051804	1.6342	0.0017817	1.1081e-07	7.1463e-10	0.0066462	474.53	0.0033532	0.0023676	695.73	0.0024112	0.00028945	0.018151	0.017258	154.9	6.2896	2.6877e-05	72.949	0.23684	0.0033156	2.6818	3.3102e-322	1.0231	2.5336e-13	4.3972e-322	1525	333.76	450.07
0.9	417.1	41769	0.00031431	0.00031198	8.0744e-06	1.8893e-05	0.10251	5.7528e-11	778.68	0.0050214	1.8237	0.0019959	1.2928e-07	8.1247e-10	0.0069349	473.03	0.0033496	0.0023886	696.01	0.0029921	0.000341	0.017684	0.018891	154.99	6.2896	2.7856e-05	72.45	0.2498	0.0032564	2.7322	3.7549e-322	1.0261	3.2234e-13	4.9407e-322	1528.1	334.24	450.07
