z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42
0	148.3	52786	0.00014623	3.7993	0.21181	0.76498	0.53209	-0	167.43	0	-0	0.051036	-0	7.29e-09	0.0004887	0.072209	4.9491e-23	-0	0.052969	3.7418e-76	0.00014385	557.69	0.018752	0.017066	0.86057	0.2497	0.19848	1.5435	0.0017937	2.2655	-0	0.030502	-0	-0	1.6039e-05	7.6676e-22
0.11765	50.13	23588	0.00015729	4.0303	0.21061	0.74008	0.53978	-0	154.89	0	8.9806e-05	0.051295	2.2807e-05	8.372e-09	0.00071252	0.07204	4.9489e-23	1.3483e-06	0.052212	4.1548e-75	0.00014385	242.51	0.044342	0.017355	0.8145	0.23502	0.19792	1.1724	0.0017457	2.3502	4.4466e-323	0.011733	5.8307e-11	0.021132	8.9047e-05	4.2601e-21
0.23529	26.645	14723	0.00016788	4.2418	0.16459	0.57325	0.54762	7.3838e-11	157.63	0	0.0002235	0.051267	4.662e-05	4.7817e-09	0.00098136	0.077847	5.3644e-23	2.7855e-06	0.055281	6.3343e-74	0.00015593	146.7	0.070976	0.018986	0.8086	0.18669	0.21361	2.2017	0.00084505	1.2142	1.0375e-322	0.0074672	1.3859e-10	0.043293	0.00012012	5.7879e-21
0.35294	16.003	9669.9	0.00017792	4.4275	0.12627	0.4059	0.55333	1.6444e-10	160.09	0	0.00032052	0.050984	7.1095e-05	2.719e-09	0.0011756	0.084819	5.879e-23	4.3702e-06	0.058582	1.1267e-72	0.00017089	92.175	0.098329	0.020905	0.78779	0.14829	0.23268	2.7528	0.00040739	0.62685	1.581e-322	0.0056349	2.6721e-10	0.066239	0.00014362	6.9746e-21
0.47059	10.017	6537	0.00018736	4.582	0.09554	0.25579	0.55552	2.205e-10	160.23	0	0.00054934	0.050521	9.5946e-05	1.5405e-09	0.0013121	0.092235	6.4499e-23	6.0841e-06	0.06156	2.0072e-71	0.00018748	58.528	0.12613	0.022957	0.75173	0.11779	0.25327	3.0542	0.00019583	0.32579	2.0751e-322	0.0046207	4.8677e-10	0.089774	0.00016512	8.0811e-21
0.58824	6.3265	4625.7	0.00019614	4.7005	0.071997	0.15377	0.55522	2.5462e-10	157.7	0	0.00078919	0.049903	0.00012094	8.7026e-10	0.0014083	0.099837	7.0639e-23	7.8553e-06	0.064038	3.1663e-70	0.00020533	38.246	0.15418	0.025079	0.70724	0.093564	0.2747	3.2265	9.4029e-05	0.17375	2.6185e-322	0.0039676	8.6992e-10	0.11375	0.00018618	9.1796e-21
0.70588	3.9752	3471.3	0.00020423	4.7798	0.05427	0.092218	0.55286	2.7475e-10	152.78	0	0.0011291	0.049179	0.00014588	4.9045e-10	0.0014779	0.1075	7.7146e-23	9.5902e-06	0.065973	4.3779e-69	0.00022424	26.329	0.18229	0.027229	0.66216	0.074321	0.29656	3.3269	4.5231e-05	0.098133	3.1126e-322	0.0035045	1.543e-09	0.13806	0.00020738	1.0296e-20
0.82353	2.4757	2760.4	0.00021162	4.8182	0.040986	0.055198	0.54884	2.8589e-10	145.99	0	0.0015336	0.048382	0.00017062	2.7586e-10	0.0015328	0.11515	8.3979e-23	1.1199e-05	0.067404	5.4785e-68	0.00024411	19.375	0.21033	0.029375	0.6229	0.059035	0.31856	3.3862	2.1929e-05	0.062556	3.7055e-322	0.0031558	2.727e-09	0.16261	0.00022896	1.1442e-20
0.94118	1.5346	2301.5	0.00021833	4.8153	0.030984	0.032989	0.54352	2.9126e-10	137.92	0	0.0020193	0.047538	0.00019501	1.5493e-10	0.0015815	0.12273	9.1107e-23	1.2609e-05	0.068416	6.1657e-67	0.00026483	15.274	0.23821	0.031485	0.59348	0.046893	0.34043	3.4217	1.0852e-05	0.048058	4.1996e-322	0.0028814	4.8094e-09	0.18736	0.00025101	1.2621e-20
1.0588	0.95827	1985.8	0.00022436	4.7724	0.023414	0.019691	0.53716	2.9291e-10	129.14	0	0.0025892	0.046671	0.00021897	8.6901e-11	0.0016297	0.13021	9.8503e-23	1.3778e-05	0.06912	6.2211e-66	0.00028633	12.806	0.26584	0.033531	0.57546	0.037249	0.36193	3.4425	5.6208e-06	0.04511	4.743e-322	0.0026571	8.4701e-09	0.21228	0.00027355	1.3832e-20
1.1765	0.61491	1753.7	0.00022975	4.6921	0.017659	0.011742	0.53	2.9214e-10	120.12	0	0.0032343	0.0458	0.0002424	4.8696e-11	0.001681	0.13755	1.0614e-22	1.4684e-05	0.069632	5.6361e-65	0.00030853	11.284	0.29315	0.035486	0.56846	0.029588	0.38284	3.4531	3.1832e-06	0.049064	5.2865e-322	0.0024667	1.4902e-08	0.23733	0.00029658	1.5075e-20
1.2941	0.41553	1572.5	0.00023455	4.5779	0.013279	0.0069964	0.52221	2.898e-10	111.21	0	0.0039359	0.044939	0.00026523	2.7266e-11	0.0017373	0.14471	1.14e-22	1.5332e-05	0.070059	4.6068e-64	0.00033137	10.322	0.32011	0.037326	0.57097	0.023502	0.40295	3.4556	2.0839e-06	0.05781	5.83e-322	0.0022995	2.6196e-08	0.2625	0.00032006	1.6346e-20
1.4118	0.30189	1423.9	0.00023881	4.4345	0.009955	0.0041662	0.51391	2.8643e-10	102.64	0	0.0046685	0.044099	0.0002874	1.5257e-11	0.0017994	0.15167	1.2205e-22	1.5738e-05	0.070489	3.4216e-63	0.00035478	9.6987	0.34665	0.039028	0.58105	0.018669	0.4221	3.4513	1.6344e-06	0.07058	6.3734e-322	0.0021482	4.602e-08	0.2878	0.00034396	1.7645e-20
1.5294	0.23737	1297	0.00024258	4.267	0.0074497	0.0024796	0.50522	2.8236e-10	94.549	0	0.0054026	0.043288	0.00030886	8.5333e-12	0.0018675	0.15839	1.3028e-22	1.593e-05	0.070988	2.3292e-62	0.0003787	9.2837	0.37276	0.040574	0.59682	0.014829	0.44013	3.4405	1.5157e-06	0.087352	6.9169e-322	0.0020081	8.0808e-08	0.31323	0.00036821	1.8966e-20
