-999	"MyLake model input for Vansjoen (Storefjorden); initial state, last modified 30.12.2005"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)																	
0.00E+00	2.38E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.00E-01	2.27E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.50E+00	2.04E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.50E+00	1.82E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.50E+00	1.61E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.50E+00	1.42E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.50E+00	1.29E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.50E+00	1.16E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.50E+00	1.05E+07	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.50E+00	9.43E+06	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.50E+00	8.43E+06	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.05E+01	7.48E+06	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.15E+01	6.79E+06	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.25E+01	6.03E+06	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.35E+01	5.34E+06	4	7	0.004	21	7	7	3000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
