-999	"MyLake model input for Vansjoen (Vanemfjorden); initial state, last modified 2012-02-15 Koji"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)																	
0	1.20E+07	0	3.5	0.004	35	7	3.5	3000	756732	196747	0.92	0.05	0.01	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	1.15E+07	0	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.5	9.08E+06	0.2	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.5	7.44E+06	0.4	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5	5.81E+06	0.6	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.5	3.76E+06	0.8	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.5	2.63E+06	1	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.5	1.87E+06	1.2	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.5	1.29E+06	1.4	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.5	8.42E+05	1.6	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.5	5.55E+05	1.8	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.5	3.90E+05	2	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.5	2.81E+05	2.2	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.5	1.98E+05	2.4	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.5	1.35E+05	2.6	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.5	8.19E+04	2.8	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.5	5.04E+04	3	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.5	2.79E+04	3.2	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.5	1.53E+04	3.4	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.5	9.00E+02	3.6	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0.00E+00	3.8	3.5	0.004	35	7	3.5	3000	756732	196747	0.92			9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
