mysterious useless line																			
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDIP	InflowChla	DIC	DOC	DO
1983	1	1	NaN	0.9125	3.93	94	1001.40	8.10	0.73	0	0	0	0	0	0	0	0	0	0
1983	1	2	NaN	0.2875	1.16	77	1001.00	3.30	3.81	0	0	0	0	0	0	0	0	0	0
1983	1	3	NaN	0.8375	0.74	92	999.30	6.50	0	0	0	0	0	0	0	0	0	0	0
1983	1	4	NaN	1.000	3.96	98	987.30	3.80	6.21	0	0	0	0	0	0	0	0	0	0
1983	1	5	NaN	0.788	2.02	78	995.00	4.50	3.36	0	0	0	0	0	0	0	0	0	0
1983	1	6	NaN	0.913	6.08	82	982.60	9.10	2.49	0	0	0	0	0	0	0	0	0	0
1983	1	7	NaN	0.163	2.26	71	989.40	5.80	0	0	0	0	0	0	0	0	0	0	0
1983	1	8	NaN	0.250	1.55	63	997.50	5.10	0	0	0	0	0	0	0	0	0	0	0
1983	1	9	NaN	0.500	4.31	71	992.50	8.70	0	0	0	0	0	0	0	0	0	0	0
1983	1	10	NaN	0.375	3.48	70	1000.20	4.60	0	0	0	0	0	0	0	0	0	0	0
1983	1	11	NaN	0.913	5.48	86	1004.90	7.20	0	0	0	0	0	0	0	0	0	0	0
1983	1	12	NaN	1.000	5.67	92	1002.50	8.90	0	0	0	0	0	0	0	0	0	0	0
1983	1	13	NaN	0.963	1.35	97	986.30	1.50	2.43	0	0	0	0	0	0	0	0	0	0
1983	1	14	NaN	0.250	-2.03	66	983.70	3.10	12.18	0	0	0	0	0	0	0	0	0	0
1983	1	15	NaN	1.000	-5.41	93	979.90	2.40	0	0	0	0	0	0	0	0	0	0	0
1983	1	16	NaN	0.163	-7.33	93	988.20	0.00	0	0	0	0	0	0	0	0	0	0	0
1983	1	17	NaN	0.625	-3.31	79	985.30	2.70	0	0	0	0	0	0	0	0	0	0	0
1983	1	18	NaN	1.000	-2.38	81	967.40	7.20	5.98	0	0	0	0	0	0	0	0	0	0
1983	1	19	NaN	0.088	-4.25	65	1001.00	2.80	1.55	0	0	0	0	0	0	0	0	0	0
1983	1	20	NaN	0.913	-0.2	71	1005.00	5.50	0	0	0	0	0	0	0	0	0	0	0
1983	1	21	NaN	0.588	6.62	48	992.40	5.70	0.97	0	0	0	0	0	0	0	0	0	0
1983	1	22	NaN	0.713	5.55	64	1007.60	5.30	0	0	0	0	0	0	0	0	0	0	0
1983	1	23	NaN	0.213	2.46	82	1018.40	1.90	0	0	0	0	0	0	0	0	0	0	0
1983	1	24	NaN	1.000	2.06	91	1017.60	5.70	0	0	0	0	0	0	0	0	0	0	0
1983	1	25	NaN	0.538	4.33	89	1003.60	5.50	2.34	0	0	0	0	0	0	0	0	0	0
1983	1	26	NaN	0.663	5.25	69	997.40	5.60	0	0	0	0	0	0	0	0	0	0	0
1983	1	27	NaN	0.463	6.04	69	980.30	7.70	0	0	0	0	0	0	0	0	0	0	0
1983	1	28	NaN	0.338	3.19	58	988.40	4.80	0	0	0	0	0	0	0	0	0	0	0
1983	1	29	NaN	0.963	-0.07	96	976.10	3.10	0.16	0	0	0	0	0	0	0	0	0	0
1983	1	30	NaN	0.713	-1.28	74	977.20	1.60	0.74	0	0	0	0	0	0	0	0	0	0
1983	1	31	NaN	0.875	-4.59	85	987.80	1.50	0	0	0	0	0	0	0	0	0	0	0
1983	2	1	NaN	1.000	-4.23	84	969.40	8.40	0.74	0	0	0	0	0	0	0	0	0	0
1983	2	2	NaN	0.588	-3.37	56	991.70	4.80	1.63	0	0	0	0	0	0	0	0	0	0
1983	2	3	NaN	0.463	-2.83	65	1001.40	1.70	0	0	0	0	0	0	0	0	0	0	0
1983	2	4	NaN	0.588	-3	63	1009.70	3.60	0	0	0	0	0	0	0	0	0	0	0
1983	2	5	NaN	1.000	-0.71	94	988.80	6.20	6.66	0	0	0	0	0	0	0	0	0	0
1983	2	6	NaN	0.963	-1.75	86	996.50	6.00	10.14	0	0	0	0	0	0	0	0	0	0
1983	2	7	NaN	0.750	-6.19	72	1011.40	5.50	0	0	0	0	0	0	0	0	0	0	0
1983	2	8	NaN	0.125	-8.55	69	1018.70	5.00	0	0	0	0	0	0	0	0	0	0	0
1983	2	9	NaN	0.375	-10.8	78	1017.30	1.00	0	0	0	0	0	0	0	0	0	0	0
1983	2	10	NaN	0.413	-9.92	82	1003.40	2.10	0	0	0	0	0	0	0	0	0	0	0
1983	2	11	NaN	0.663	-4.44	70	1012.80	4.60	0	0	0	0	0	0	0	0	0	0	0
1983	2	12	NaN	0.163	-9.86	75	1014.50	1.20	0	0	0	0	0	0	0	0	0	0	0
1983	2	13	NaN	0.625	-5.19	80	1012.10	0.50	0	0	0	0	0	0	0	0	0	0	0
1983	2	14	NaN	0.875	0.28	77	1021.20	1.00	0	0	0	0	0	0	0	0	0	0	0
1983	2	15	NaN	0.413	-0.75	93	1026.50	1.00	0	0	0	0	0	0	0	0	0	0	0
1983	2	16	NaN	0.038	-2.78	86	1034.70	1.40	0	0	0	0	0	0	0	0	0	0	0
1983	2	17	NaN	0.038	-6.44	86	1031.90	0.50	0	0	0	0	0	0	0	0	0	0	0
