mysterious useless line																			
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDIP	InflowChla	DIC	DOC	DO
1995	1	1	NaN	0.750	-3.16	73	971.60	5.60	3.32	0	0	0	0	0	0	0	0	0	0
1995	1	2	NaN	0.250	-3.33	55	1003.90	7.70	1.64	0	0	0	0	0	0	0	0	0	0
1995	1	3	NaN	0.088	-9.52	91	1023.40	0.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	4	NaN	0.663	-4.84	95	1025.00	1.70	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	5	NaN	0.875	-0.67	63	1020.70	8.90	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	6	NaN	1.000	-2.35	85	1017.00	4.30	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	7	NaN	0.913	-0.15	77	1022.70	5.10	0.74	0	0	0	0	0	0	0	0	0	0
1995	1	8	NaN	1.000	1.87	98	1009.20	5.30	7.61	0	0	0	0	0	0	0	0	0	0
1995	1	9	NaN	0.538	1.12	82	991.80	5.20	1.54	0	0	0	0	0	0	0	0	0	0
1995	1	10	NaN	0.663	-0.02	79	976.70	6.30	14.38	0	0	0	0	0	0	0	0	0	0
1995	1	11	NaN	0.125	-2.81	69	989.00	3.40	0.13	0	0	0	0	0	0	0	0	0	0
1995	1	12	NaN	0.288	-2.61	72	1013.50	4.50	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	13	NaN	0.963	-2.13	93	1017.50	4.70	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	14	NaN	0.913	3.92	97	1004.80	7.70	2.26	0	0	0	0	0	0	0	0	0	0
1995	1	15	NaN	0.500	-0.01	72	1012.10	1.40	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	16	NaN	1.000	4.22	94	1005.50	9.80	0.71	0	0	0	0	0	0	0	0	0	0
1995	1	17	NaN	1.000	2.6	88	1003.20	8.40	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	18	NaN	0.963	0.7	86	998.80	4.30	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	19	NaN	1.000	-1.32	99	1007.60	5.30	23.10	0	0	0	0	0	0	0	0	0	0
1995	1	20	NaN	1.000	-0.18	98	1002.10	8.80	8.81	0	0	0	0	0	0	0	0	0	0
1995	1	21	NaN	1.000	1.33	95	1003.30	6.00	16.09	0	0	0	0	0	0	0	0	0	0
1995	1	22	NaN	1.000	0.71	92	983.00	5.00	2.84	0	0	0	0	0	0	0	0	0	0
1995	1	23	NaN	0.663	-2.37	97	967.10	1.30	10.72	0	0	0	0	0	0	0	0	0	0
1995	1	24	NaN	0.288	-5.9	91	974.80	2.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	25	NaN	0.338	-3.39	81	978.00	3.10	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	26	NaN	0.213	-8.92	95	979.20	0.30	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	27	NaN	0.163	-9.71	95	986.60	0.30	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	28	NaN	0.875	-9.58	95	982.30	2.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	29	NaN	0.213	-13.21	94	985.10	0.50	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	30	NaN	0.125	-12.28	91	998.50	1.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	1	31	NaN	0.713	-8.1	94	1008.20	5.10	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	1	NaN	0.413	2.73	89	981.20	4.40	19.42	0	0	0	0	0	0	0	0	0	0
1995	2	2	NaN	0.413	-0.04	53	1003.00	4.40	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	3	NaN	0.963	0.11	92	1004.90	7.50	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	4	NaN	0.713	4.3	68	992.50	5.30	0.71	0	0	0	0	0	0	0	0	0	0
1995	2	5	NaN	0.875	2.04	68	1003.10	3.60	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	6	NaN	0.788	4.25	95	983.00	4.10	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	7	NaN	0.250	-0.92	70	979.30	2.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	8	NaN	0.288	-3.02	59	984.40	3.10	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	9	NaN	0.375	-2.2	42	985.40	4.30	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	10	NaN	0.125	-3.66	52	992.20	1.90	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	11	NaN	0.125	-9.32	83	994.30	0.30	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	12	NaN	0.963	-2.63	87	977.50	4.60	7.87	0	0	0	0	0	0	0	0	0	0
1995	2	13	NaN	0.838	1.99	97	994.00	4.50	2.26	0	0	0	0	0	0	0	0	0	0
1995	2	14	NaN	0.963	3.23	97	989.90	4.80	5.10	0	0	0	0	0	0	0	0	0	0
1995	2	15	NaN	0.963	3.63	96	980.70	7.20	9.41	0	0	0	0	0	0	0	0	0	0
1995	2	16	NaN	0.663	3.85	92	978.20	6.20	3.69	0	0	0	0	0	0	0	0	0	0
1995	2	17	NaN	1.000	1.27	97	978.20	1.40	4.46	0	0	0	0	0	0	0	0	0	0
1995	2	18	NaN	0.088	-0.34	90	989.20	1.90	1.36	0	0	0	0	0	0	0	0	0	0
1995	2	19	NaN	0.838	0	89	986.50	4.40	2.10	0	0	0	0	0	0	0	0	0	0
1995	2	20	NaN	0.625	1.34	91	992.30	2.80	4.55	0	0	0	0	0	0	0	0	0	0
1995	2	21	NaN	0.963	0.63	98	992.10	1.40	1.58	0	0	0	0	0	0	0	0	0	0
1995	2	22	NaN	0.663	0.82	92	990.50	4.80	9.01	0	0	0	0	0	0	0	0	0	0
1995	2	23	NaN	0.913	2.19	96	977.50	7.40	17.66	0	0	0	0	0	0	0	0	0	0
1995	2	24	NaN	0.500	0.89	87	975.90	2.40	4.67	0	0	0	0	0	0	0	0	0	0
1995	2	25	NaN	0.163	-2.26	85	983.20	0.70	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	26	NaN	0.163	-3.3	83	993.30	1.50	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	27	NaN	0.663	-3.45	92	997.10	3.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	2	28	NaN	0.288	4.42	68	981.30	6.90	2.49	0	0	0	0	0	0	0	0	0	0
1995	3	1	NaN	0.625	3.09	76	982.10	3.90	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	2	NaN	0.913	-0.43	93	985.80	1.90	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	3	NaN	0.913	-0.48	98	991.30	1.20	0.13	0	0	0	0	0	0	0	0	0	0
1995	3	4	NaN	0.913	-0.59	96	992.10	3.80	3.13	0	0	0	0	0	0	0	0	0	0
1995	3	5	NaN	0.875	-2.64	92	990.30	3.40	2.25	0	0	0	0	0	0	0	0	0	0
1995	3	6	NaN	1.000	0.3	97	986.00	3.90	8.21	0	0	0	0	0	0	0	0	0	0
1995	3	7	NaN	0.788	0.76	92	992.90	3.40	3.66	0	0	0	0	0	0	0	0	0	0
1995	3	8	NaN	0.588	1.83	79	1003.60	5.00	0.71	0	0	0	0	0	0	0	0	0	0
1995	3	9	NaN	0.913	0.07	90	1009.20	3.10	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	10	NaN	0.750	0.81	82	1019.50	0.70	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	11	NaN	1.000	0.38	88	1023.50	2.10	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	12	NaN	1.000	0.77	85	1025.30	3.90	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	13	NaN	1.000	2.32	94	1026.10	5.20	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	14	NaN	1.000	-0.41	83	1013.50	7.50	0.00	0	0	0	0	0	0	0	0	0	0
1995	3	15	NaN	1.000	-1.91	87	994.40	5.30	1.64	0	0	0	0	0	0	0	0	0	0
1995	3	16	NaN	0.913	-1.04	95	987.80	2.90	7.73	0	0	0	0	0	0	0	0	0	0
