,SampleDate,Temperatur
35,2005-05-16,7.0
46,2005-05-23,7.4
56,2005-05-30,7.9
68,2005-06-13,8.6
88,2005-07-11,9.1
99,2005-07-18,10.0
109,2005-07-25,10.0
120,2005-08-01,10.0
135,2005-08-15,10.9
148,2005-08-22,10.8
159,2005-08-29,11.1
172,2005-09-05,11.2
183,2005-09-12,11.7
197,2005-09-26,12.4
208,2005-10-03,13.6
218,2005-10-10,13.1
229,2006-05-02,4.6
239,2006-05-08,4.6
249,2006-05-15,5.3
258,2006-05-22,5.9
268,2006-05-29,6.8
278,2006-06-06,7.2
287,2006-06-12,7.5
297,2006-06-19,8.0
307,2006-06-26,8.6
318,2006-07-03,8.7
331,2006-07-17,9.2
341,2006-07-24,9.4
353,2006-08-07,9.4
363,2006-08-14,10.1
373,2006-08-21,10.1
385,2006-09-04,10.4
395,2006-09-11,10.4
405,2006-09-18,10.3
415,2006-09-25,10.7
427,2006-10-09,10.7
438,2007-04-11,4.8
449,2007-04-23,6.5
459,2007-05-03,6.6
469,2007-05-07,7.1
480,2007-05-21,10.0
491,2007-05-29,11.0
502,2007-06-04,11.3
514,2007-06-11,11.3
536,2007-06-25,11.5
547,2007-07-02,11.76
557,2007-07-05,11.76
567,2007-07-09,11.6
577,2007-07-16,11.7
587,2007-07-20,11.6
597,2007-07-23,11.8
607,2007-08-01,12.22
618,2007-08-06,12.22
629,2007-08-13,12.23
639,2007-08-20,12.5
649,2007-08-27,12.4
658,2007-09-03,12.44
668,2007-09-10,12.4
677,2007-09-20,13.8
687,2007-09-24,16.3
698,2007-10-01,12.4
714,2008-04-28,5.0
722,2008-05-05,5.7
731,2008-05-13,6.0
739,2008-05-22,6.9
749,2008-05-26,7.1
758,2008-06-02,7.2
767,2008-06-09,7.6
776,2008-06-16,8.3
786,2008-06-23,8.7
795,2008-06-30,9.0
804,2008-07-07,9.1
812,2008-07-14,9.4
822,2008-07-21,10.0
831,2008-07-28,10.0
840,2008-08-04,10.5
849,2008-08-11,10.3
858,2008-08-18,10.6
867,2008-08-25,10.5
876,2008-09-01,10.6
885,2008-09-08,10.8
894,2008-09-15,10.8
903,2008-09-22,10.7
911,2008-09-29,10.9
920,2008-10-06,11.7
930,2008-10-13,10.8
938,2009-04-27,5.0
946,2009-05-04,5.8
954,2009-05-11,8.1
967,2009-05-18,8.3
980,2009-05-25,8.6
989,2009-06-08,9.3
1001,2009-06-15,9.5
