Oxygen	OMA	OMB	NO3	FeOH3	SO4	NH4	Fe2	FeOOH	H2S	HS	FeS	S0	PO4	S8	FeS2	AlOH3	PO4adsa	PO4adsb	Ca2	Ca3PO4	OMS	OH	CO2	CO3	HCO3	NH3	H	H2CO3
0.027537168	0.05161006	0.042270535	0.154	11.30764557	0.638	8.90E-07	6.66E-08	0	3.38E-18	2.66E-18	0	0	7.30E-07	6.52E-13	0	2.261538419	2.88E-06	0	0.04	2.36E-09	2.82E-13	0.073543409	9.960075074	2.19E-05	0.062386844	3.68E-09	0.135974116	0.016932128
0.029213474	0.032732731	0.035094563	0.154003015	11.30763704	0.638	9.19E-07	6.66E-08	0	1.06E-10	1.01E-10	0	4.02E-12	7.30E-07	8.22E-13	0	2.261538407	3.66E-06	0	0.04	2.95E-09	3.55E-13	0.07354365	9.960074871	2.19E-05	0.062387047	3.68E-09	0.13597367	0.016932127
0.03090057	0.020049608	0.029378009	0.154005519	11.30763021	0.638	7.01E-07	8.02E-08	0	1.54E-10	1.48E-10	0	7.99E-12	1.11E-06	1.02E-12	0	2.261538395	4.52E-06	0	0.04	3.61E-09	4.34E-13	0.073543658	9.960074865	2.19E-05	0.062387054	3.80E-09	0.135973656	0.016932127
0.032576837	0.011667734	0.025351645	0.154007414	11.30762315	0.638	4.69E-07	7.10E-08	0	1.72E-10	1.64E-10	0	1.19E-11	1.27E-06	1.26E-12	0	2.261538381	5.43E-06	0	0.04	4.34E-09	5.18E-13	0.073543599	9.960074914	2.19E-05	0.062387004	2.90E-09	0.135973765	0.016932127
0.034228845	0.006417048	0.023094413	0.15400882	11.30761502	0.638	2.90E-07	5.50E-08	0	1.72E-10	1.64E-10	0	1.57E-11	1.30E-06	1.52E-12	0	2.261538367	6.40E-06	0	0.04	5.13E-09	6.09E-13	0.073543536	9.960074967	2.19E-05	0.062386951	1.94E-09	0.135973881	0.016932127
0.035848734	0.003348859	0.022359269	0.154009895	11.3076057	0.638000001	1.73E-07	3.95E-08	0	1.63E-10	1.56E-10	0	1.95E-11	1.28E-06	1.82E-12	0	2.261538352	7.41E-06	0	0.04	5.97E-09	7.06E-13	0.073543488	9.960075008	2.19E-05	0.06238691	1.20E-09	0.13597397	0.016932128
0.037432331	0.001677281	0.022711916	0.154010765	11.30759543	0.638000001	1.03E-07	2.71E-08	0	1.52E-10	1.45E-10	0	2.31E-11	1.23E-06	2.15E-12	0	2.261538336	8.48E-06	0	0.04	6.85E-09	8.08E-13	0.073543456	9.960075035	2.19E-05	0.062386883	7.13E-10	0.135974029	0.016932128
0.038977771	0.000820785	0.023714036	0.154011516	11.30758458	0.638000001	6.30E-08	1.81E-08	0	1.39E-10	1.33E-10	0	2.67E-11	1.17E-06	2.51E-12	0	2.261538319	9.60E-06	0	0.04	7.77E-09	9.16E-13	0.073543437	9.960075051	2.19E-05	0.062386867	4.25E-10	0.135974064	0.016932128
0.040484561	0.000401866	0.025023251	0.1540122	11.30757351	0.638000001	4.22E-08	1.20E-08	0	1.28E-10	1.22E-10	0	3.03E-11	1.10E-06	2.91E-12	0	2.261538302	1.08E-05	0	0.04	8.72E-09	1.03E-12	0.073543426	9.96007506	2.19E-05	0.062386858	2.61E-10	0.135974084	0.016932128
0.041952966	0.000202252	0.026410414	0.154012847	11.3075625	0.638000001	3.17E-08	8.04E-09	0	1.17E-10	1.12E-10	0	3.38E-11	1.04E-06	3.34E-12	0	2.261538284	1.20E-05	0	0.04	9.66E-09	1.14E-12	0.07354342	9.960075065	2.19E-05	0.062386854	1.74E-10	0.135974095	0.016932128
