Dato,TemperaturC,Depthm
18/04/2005,NaN,0
18/04/2005,NaN,2
18/04/2005,NaN,3
18/04/2005,NaN,5
18/04/2005,NaN,10
25/04/2005,NaN,0
25/04/2005,NaN,2
25/04/2005,9.2,1
25/04/2005,9,4
25/04/2005,8.8,6
02/05/2005,10.8,0
02/05/2005,10.8,2
02/05/2005,10.8,4
02/05/2005,10.8,6
02/05/2005,9.4,8
02/05/2005,7.8,10
04/05/2005,NaN,2
09/05/2005,12.1,0
09/05/2005,NaN,2
09/05/2005,12.1,2
09/05/2005,12.1,4
09/05/2005,11.4,6
09/05/2005,10.1,8
16/05/2005,12.3,0
16/05/2005,NaN,2
16/05/2005,12.4,3
16/05/2005,12.4,6
16/05/2005,12.4,9
16/05/2005,10.2,12
16/05/2005,9.5,15
23/05/2005,13.6,0
23/05/2005,NaN,2
23/05/2005,13.4,3
23/05/2005,12.9,6
23/05/2005,12.6,9
23/05/2005,12.2,12
30/05/2005,13.9,0
30/05/2005,NaN,2
30/05/2005,13.4,3
30/05/2005,13.2,6
30/05/2005,13.1,9
30/05/2005,13.3,10
06/06/2005,NaN,0
07/06/2005,NaN,2
13/06/2005,13.8,0
13/06/2005,NaN,2
13/06/2005,14.2,3
13/06/2005,14.2,6
13/06/2005,14,9
13/06/2005,13.6,11
21/06/2005,NaN,0
21/06/2005,NaN,2
27/06/2005,19.3,0
27/06/2005,NaN,2
27/06/2005,19.3,3
27/06/2005,19.3,6
27/06/2005,17.6,9
27/06/2005,15.5,12
27/06/2005,15.2,13
04/07/2005,NaN,0
04/07/2005,NaN,2
11/07/2005,25.7,0
11/07/2005,NaN,2
11/07/2005,21.2,3
11/07/2005,18.2,6
11/07/2005,16.6,9
11/07/2005,15.4,12
11/07/2005,13.4,15
11/07/2005,12.7,17
14/07/2005,NaN,2
18/07/2005,22.2,0
18/07/2005,NaN,2
18/07/2005,21.3,3
18/07/2005,20.4,6
18/07/2005,17.1,9
18/07/2005,15.8,12
18/07/2005,13.9,15
25/07/2005,20.2,0
25/07/2005,NaN,2
25/07/2005,20.2,5
25/07/2005,20.1,6
25/07/2005,19.1,7
25/07/2005,17.5,8
25/07/2005,17,9
25/07/2005,16.4,10
25/07/2005,16,11
25/07/2005,15.6,12
25/07/2005,15,13
25/07/2005,14,14
25/07/2005,13.5,15
25/07/2005,12.9,16
01/08/2005,19.5,0
01/08/2005,NaN,2
01/08/2005,18.4,3
01/08/2005,18.3,5
01/08/2005,18.2,7
01/08/2005,16.9,9
01/08/2005,16.1,10
01/08/2005,15.6,11
01/08/2005,15.4,12
01/08/2005,14.7,13
01/08/2005,13.6,14
01/08/2005,12.9,15
05/08/2005,NaN,2
08/08/2005,NaN,0
08/08/2005,NaN,2
09/08/2005,NaN,2
15/08/2005,19.6,0
15/08/2005,NaN,2
15/08/2005,19.5,3
15/08/2005,19.3,6
15/08/2005,19.2,9
15/08/2005,18.5,10
15/08/2005,18.2,11
15/08/2005,17.9,12
15/08/2005,15.6,13
15/08/2005,14.2,14
15/08/2005,13.8,15
22/08/2005,20.6,0
22/08/2005,NaN,2
22/08/2005,19.3,3
22/08/2005,19.1,6
22/08/2005,18.8,9
22/08/2005,17.8,12
22/08/2005,15.4,13
22/08/2005,14.2,14
29/08/2005,17.5,0
29/08/2005,NaN,2
29/08/2005,17.4,3
29/08/2005,17.4,6
29/08/2005,17.4,9
29/08/2005,17.4,12
29/08/2005,17.3,13
29/08/2005,17.3,14
29/08/2005,17.3,15
29/08/2005,17.2,16
30/08/2005,NaN,2
04/09/2005,NaN,2
05/09/2005,17.1,0
05/09/2005,NaN,2
05/09/2005,17,3
05/09/2005,16.8,6
05/09/2005,16.7,9
05/09/2005,16.7,12
05/09/2005,16.7,15
12/09/2005,NaN,0
12/09/2005,NaN,2
13/09/2005,NaN,2
19/09/2005,NaN,0
19/09/2005,NaN,2
22/09/2005,NaN,2
26/09/2005,NaN,0
26/09/2005,NaN,2
27/09/2005,NaN,2
03/10/2005,NaN,0
03/10/2005,NaN,2
10/10/2005,NaN,0
10/10/2005,NaN,2
02/05/2006,6.5,0
02/05/2006,NaN,2
02/05/2006,6.5,3
02/05/2006,6.5,6
02/05/2006,6.4,9
02/05/2006,6.3,12
02/05/2006,6.2,15
02/05/2006,6.2,16
08/05/2006,11.4,0
08/05/2006,NaN,2
